type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/OBJECTID,properties/CLAVE,properties/CATEGO,properties/NOMB,properties/LAT,properties/LONG_,properties/ELEV,properties/TIPO,properties/ACTIV,properties/EDO_LOC,properties/TIP_ERUP,properties/PRODUCT,properties/COMP,properties/PAPERS,properties/SHAPE
Feature,Point,-97.2682130000896,19.0303650002699,19,5,1,Citlaltepetl (Pico de Orizaba),19.030365,-97.268213,5700,Estratovolcan,Historica,Puebla y Veracruz,Explosiva,Flujos de lava,Andesítica a dacítica,"(Siebe C. et al., 1993) - (De la Cruz-Reyna S. & Carrasco-Nunez G., 2002) - (Schaaf P. & Carrasco-Núñez G., 2010)",geometry
Feature,Point,-95.1985039998959,18.5620209998355,20,6,1,San Martin Tuxtla,18.562021,-95.198504,1650,Volcan escudo,Historica,Veracruz,Explosiva,"Flujos de lava, Flujos piroclásticos",Alcalina,"(Espíndola J. et al., 2010) - (Zamora-Camacho A. et al., 2010)",geometry
Feature,Point,-102.251431000178,19.4932409995605,21,7,1,Paricutin,19.493241,-102.251431,3860,Cono cineritico,Historica,Michoacán,Estromboleanas,"Flujos piroclásticos, Flujos de lava",Andesita-basaltica,"(Inbar M. et al., 1994) - (Yokoyama & De la Cruz-Reyna S., 1990) - (Erlund E. et al. 2010)",geometry
Feature,Point,-101.717852000456,18.973674000135,22,8,1,Jorullo,18.973674,-101.717852,1218,Cono cineritico,Historica,Michoacán,Estromboleanas,"Flujos piroclásticos, Flujos de lava",Basalto-andesitica,"(Johnson  E. et al., 2008) - (Guilbaud M. et al., 2011)",geometry
Feature,Point,-110.806474000388,19.3082059998532,23,9,1,Barcena,19.308206,-110.806474,332,Cono cineritico,Historica,Archipiélago de las Revillagigedo,"Explosiva, erupciones freáticas","Flujos piroclásticos, Flujos de lava",Lavas traquíticas, ,geometry
Feature,Point,-92.1085119998186,15.1325980001543,24,10,2,Tacana,15.132598,-92.108512,4060,Estratovolcan,Historica,Chiapas,"Freáticas, explosivas","Lavas, Flujos Piróclasticos",Basáltica a andesítica,"(De la Cruz-Reyna S. et al., 1989) - (Arce J. et al., 2012)",geometry
Feature,Point,-99.1357279999339,19.0894490001279,25,11,2,Chichinautzin,19.089449,-99.135728,3930,Campo volcanico,Historica,Estado de México y Distrito Federal, ,Flujos de lava,Basáltica-andesíica y andesítica,"(Martin Del Pozzo, 1982) - (Marquez A. et al., 1999) - (Siebe C, et al., 2005) - (Flores J. et al., 2011)",geometry
Feature,Point,-99.7603030001513,19.7416879999297,26,12,2,Jocotitlan,19.741688,-99.760303,3900,Estratovolcan,Pleistoceno-Holoceno,Estado de México,Pliniana,"Flujos de piroclastos, flujos de lava, lahares",Andesítica a dacítica,"(Salinas S. & López-Blanco J., 2010) - (Dufresne A. et al., 2010)",geometry
Feature,Point,-99.7556080000631,19.1087609997495,27,13,3,Nevado de Toluca,19.108761,-99.755608,4680,Estratovolcan,Pleistoceno-Holoceno,Estado de México,Explosiva,"Flujos piroclásticos, lahares",Andesítica-dacítica,"(Capra L. & Macías J., 2000) – (Armienta M. et al., 2000) – (Bellotti F. et al., 2006)",geometry
Feature,Point,-112.5900000001,27.4699999998178,28,14,3,Tres Virgenes,27.47,-112.59,1940,Estratovolcan,Historica,Baja California Sur,Pliniana,Flujos de lava,Andesítica y domos de lava dacítica,"(Portugal E. et al., 2000) - (Capra L. et al., 2007) - (Schmitt A. et al., 2010)",geometry
Feature,Point,-97.2602939995524,19.1591590003132,29,15,3,Las Cumbres,19.159159,-97.260294,3940,"Estratovolcan, domos y conos de tobas",Pleistoceno-Holoceno,Puebla y Veracruz,Explosiva,"Flujos de lava, piroclastos","Domos de lava andesíticos, riolíticos y un domo dacítico", ,geometry
Feature,Point,-97.4606080001738,19.2809970001352,30,16,3,Serdan-Oriental,19.280997,-97.460608,3485,"Estratovolcan, domos y conos de tobas",Pleistoceno-Holoceno,Puebla,Explosiva,"Flujos de lava, piroclastos","Domos de lava andesíticos, riolíticos y un domo dacítico", ,geometry
